Modèle,Jeu,Sortie,MAE,RMSE,R²,Temps entraînement (s),Post-traitement physique
Baseline moyenne (référence),Test,Solid_Yield_pct,3.5416115,4.433527679670699,-0.002627537926104706,0.0,Non
Baseline moyenne (référence),Test,Liquid_Yield_pct,2.7362252500000004,3.496349491456232,-0.0001432069069464692,0.0,Non
Baseline moyenne (référence),Test,Gas_Yield_pct,1.8485692499999997,2.173004005727152,-0.015711619262603227,0.0,Non
Baseline moyenne (référence),Test,HBr_pct,0.8507750000000001,1.0575414959352658,-0.0003069409840075199,0.0,Non
Baseline moyenne (référence),Test,Br2_pct,0.05552750000000001,0.06603575262689144,-0.008821244901783265,0.0,Non
Baseline moyenne (référence),Test,HCl_pct,0.10981750000000001,0.13469877563010735,-8.611776181055575e-09,0.0,Non
Baseline moyenne (référence),Test,Cl2_pct,0.032851,0.040772325172842426,-0.0002542179113818044,0.0,Non
Baseline moyenne (référence),Test,HF_pct,0.010001000000000003,0.012189756201417648,-1.0515512482989209e-06,0.0,Non
Sélection automatique par sortie,Validation,Solid_Yield_pct,2.6889703585478224,3.32325032494637,0.3984558802035232,43.90283810161054,Oui
Sélection automatique par sortie,Validation,Liquid_Yield_pct,2.1054975451606555,2.7069176549967513,0.34477739984476063,43.7534887008369,Oui
Sélection automatique par sortie,Validation,Gas_Yield_pct,1.617941121194001,1.9690393206045809,0.2288529506740039,1234.4753761012107,Oui
Sélection automatique par sortie,Validation,HBr_pct,0.2160879776752704,0.28163985897295446,0.9125629268154561,44.280262500047684,Oui
Sélection automatique par sortie,Validation,Br2_pct,0.01902491554249994,0.023863622243906354,0.8740094012779179,43.054511699825525,Oui
Sélection automatique par sortie,Validation,HCl_pct,0.040130875448291775,0.05097582471067946,0.8207930582334494,1507.580580201,Oui
Sélection automatique par sortie,Validation,Cl2_pct,0.012141033585049041,0.015292183241041452,0.8642012564878929,43.253209199756384,Oui
Sélection automatique par sortie,Validation,HF_pct,0.004875999322717899,0.006090999107464649,0.645177217605823,862.4747058991343,Oui
Sélection automatique par sortie,Test,Solid_Yield_pct,3.0797235910661653,3.8116705184031217,0.2589090899743465,43.90283810161054,Oui
Sélection automatique par sortie,Test,Liquid_Yield_pct,2.614704797021534,3.1707437296831573,0.1774642202038761,43.7534887008369,Oui
Sélection automatique par sortie,Test,Gas_Yield_pct,1.5574040829986107,1.9582526786532815,0.1751274995616221,1234.4753761012107,Oui
Sélection automatique par sortie,Test,HBr_pct,0.28616210665167674,0.3567873665639313,0.8861436167432019,44.280262500047684,Oui
Sélection automatique par sortie,Test,Br2_pct,0.021338903380025916,0.026127830577596343,0.8420707190153176,43.054511699825525,Oui
Sélection automatique par sortie,Test,HCl_pct,0.03787805516000471,0.04868122530778762,0.8693842016501772,1507.580580201,Oui
Sélection automatique par sortie,Test,Cl2_pct,0.012981627797716382,0.017302474047601168,0.81986593650394,43.253209199756384,Oui
Sélection automatique par sortie,Test,HF_pct,0.0055537831876133455,0.007036136243865318,0.6668200199055445,862.4747058991343,Oui
