model,target,metric,aggregation_unit,n_repeats,mean,std,se,ci95_low,ci95_high
Extra Trees Optuna,Solid_Yield_pct,mae,répétition OOF complète,5,2.9028104549589258,0.0029229904180821985,0.0013072010544824652,2.8991810829896987,2.906439826928153
Extra Trees Optuna,Solid_Yield_pct,rmse,répétition OOF complète,5,3.647639283552094,0.007769568086127182,0.0034746564792786636,3.6379920905779572,3.657286476526231
Extra Trees Optuna,Solid_Yield_pct,r2,répétition OOF complète,5,0.23267448287336934,0.0032677851683031492,0.0014613979544382866,0.2286169916760231,0.23673197407071558
Hybride 2 branches MLP + XGBoost Optuna,Br2_pct,mae,répétition OOF complète,5,0.0202604954682681,0.00013334781582733906,5.96349561682105e-05,0.020094922286116187,0.020426068650420015
Hybride 2 branches MLP + XGBoost Optuna,Br2_pct,rmse,répétition OOF complète,5,0.026163746411701598,0.0001522303633251272,6.807948812689506e-05,0.02597472745012731,0.026352765373275886
Hybride 2 branches MLP + XGBoost Optuna,Br2_pct,r2,répétition OOF complète,5,0.8593727034006065,0.001636694916150234,0.0007319522181880483,0.8573404782471796,0.8614049285540333
Hybride 2 branches MLP + XGBoost Optuna,Cl2_pct,mae,répétition OOF complète,5,0.013328181614175899,3.0329602886111833e-05,1.3563810756783973e-05,0.013290522438192396,0.013365840790159402
Hybride 2 branches MLP + XGBoost Optuna,Cl2_pct,rmse,répétition OOF complète,5,0.01746362218732798,8.216776210437093e-05,3.674654032488091e-05,0.017361597435310013,0.01756564693934595
Hybride 2 branches MLP + XGBoost Optuna,Cl2_pct,r2,répétition OOF complète,5,0.8296461737607853,0.0016048244166689907,0.0007176992975246619,0.8276535210591691,0.8316388264624015
Hybride 2 branches MLP + XGBoost Optuna,Gas_Yield_pct,mae,répétition OOF complète,5,1.5881460531616165,0.006695631350200865,0.002994377370265567,1.5798323287688276,1.5964597775544054
Hybride 2 branches MLP + XGBoost Optuna,Gas_Yield_pct,rmse,répétition OOF complète,5,1.973771368320063,0.010893744617767534,0.004871830698970133,1.9602449978225551,1.987297738817571
Hybride 2 branches MLP + XGBoost Optuna,Gas_Yield_pct,r2,répétition OOF complète,5,0.1580559296579608,0.009323792547495002,0.004169726788860952,0.1464789121250157,0.1696329471909059
Hybride 2 branches MLP + XGBoost Optuna,HBr_pct,mae,répétition OOF complète,5,0.2658459004899963,0.0020358560272457664,0.0009104624938648394,0.26331805135543906,0.2683737496245535
Hybride 2 branches MLP + XGBoost Optuna,HBr_pct,rmse,répétition OOF complète,5,0.34331791134570266,0.002111525421862995,0.0009443028759009154,0.3406961062480834,0.34593971644332194
Hybride 2 branches MLP + XGBoost Optuna,HBr_pct,r2,répétition OOF complète,5,0.8834615176952474,0.001435154982008794,0.0006418208196038302,0.8816795374222443,0.8852434979682505
Hybride 2 branches MLP + XGBoost Optuna,HCl_pct,mae,répétition OOF complète,5,0.040412105307607624,0.00015170520609847008,6.784463067535895e-05,0.04022373841485507,0.04060047220036018
Hybride 2 branches MLP + XGBoost Optuna,HCl_pct,rmse,répétition OOF complète,5,0.052838237450952764,0.00014166789966244973,6.335581077497142e-05,0.05266233352024076,0.05301414138166477
Hybride 2 branches MLP + XGBoost Optuna,HCl_pct,r2,répétition OOF complète,5,0.8377984888179648,0.0008690813712518338,0.00038866500481956636,0.8367193817677718,0.8388775958681578
Hybride 2 branches MLP + XGBoost Optuna,HF_pct,mae,répétition OOF complète,5,0.0050730261209400804,6.019877772843744e-05,2.6921711832637297e-05,0.004998279465898809,0.005147772775981352
Hybride 2 branches MLP + XGBoost Optuna,HF_pct,rmse,répétition OOF complète,5,0.006538498295402341,6.25005734661243e-05,2.795110618059472e-05,0.006460893583462365,0.006616103007342317
Hybride 2 branches MLP + XGBoost Optuna,HF_pct,r2,répétition OOF complète,5,0.6794971138206376,0.0061119744797935895,0.002733358082712476,0.6719080951511377,0.6870861324901375
