scenario_id,Concentration_liquide_chimique_kg,Temperature_C,Temps_reaction_min,Heating_rate_C_min,Taille_particules_mm,Solid_Yield_pct,Liquid_Yield_pct,Gas_Yield_pct,HBr_pct,Br2_pct,HCl_pct,Cl2_pct,HF_pct,Toxicity_Index_pct,Valuable_Yield_pct,model,pareto_nondominated
24,65.26286949467392,512.2256037932549,18.70935201901871,19.74906403713669,2.34,25.046823148639618,55.389057174469805,19.564119676890584,2.932172928211744,0.20087459299453236,0.3556014241818439,0.09578816567314419,0.031234565753588496,3.615671676814853,74.95317685136038,Sélection automatique par sortie,False
25,59.207381335113055,479.61225655559065,14.55764372077123,15.723078428300985,2.58,26.65709647587885,54.64857390921612,18.694329614905037,2.349824431142676,0.16307957254116096,0.2792441279500612,0.07265982212314102,0.025146433388394736,2.889954387145434,73.34290352412116,Sélection automatique par sortie,False
26,36.99347242295472,480.9201208137919,15.986347806027018,14.01,2.45,25.79949716508711,55.799722249175424,18.400780585737476,2.125692608674376,0.14503703980022054,0.2713244056359678,0.06472999972294785,0.023817620131301682,2.630601673964814,74.2005028349129,Sélection automatique par sortie,False
27,63.5654019502508,415.0313881081997,18.56635770403699,11.851289501447376,2.13,30.09470081575281,52.47900098177661,17.426298202470573,1.471916801642931,0.10387223140678038,0.17555427556038433,0.038360917939278,0.017832349850518694,1.8075365763998923,69.90529918424718,Sélection automatique par sortie,False
28,42.525824837582846,495.92906067775317,13.357965584336183,9.47,3.07,26.24401507088218,56.024812645225914,17.731172283891897,2.3670349167871154,0.16666762116158315,0.2852276723508646,0.07639288545893229,0.026266685761041814,2.921589781519537,73.75598492911782,Sélection automatique par sortie,False
29,67.9582257741614,541.3663954837951,15.358308927457271,10.43681719424187,3.26,24.961717895703785,56.06296729837286,18.97531480592336,3.397236358888985,0.240392468319573,0.42615346028369416,0.11914781783266197,0.03718182363304205,4.220111928957956,75.03828210429623,Sélection automatique par sortie,False
30,67.96852104262281,474.7098521256542,12.87,7.185913362185646,2.21,27.809715858474892,54.630639112578606,17.559645028946523,2.399655519753962,0.17493050214870173,0.3025609752263464,0.07745331934191856,0.025721901436331074,2.98032221790726,72.19028414152513,Sélection automatique par sortie,False
31,34.578890970089184,458.34965007392947,25.96059388928308,19.0937388523179,1.76,25.745003782089718,55.69359877840573,18.56139743950456,1.9186826521680804,0.12783245778441593,0.252931428064073,0.052907210447219195,0.018715793134322298,2.3710695415981107,74.25499621791029,Sélection automatique par sortie,False
32,59.532492130589944,496.80696411209317,20.89208782308099,19.099580159138394,2.37,25.59694363097851,55.14973154117318,19.253324827848306,2.6297818612965234,0.17972156972119216,0.3186774615420225,0.08400635805442955,0.028165617481256476,3.240352868095424,74.40305636902148,Sélection automatique par sortie,False
33,44.598454749581194,458.0777566340567,20.588168118013026,12.499119517452412,2.0,27.390605739356882,54.877442894958484,17.731951365684615,1.9563026050989116,0.13251952411349815,0.24630152071481456,0.05661494426843795,0.02041356401677196,2.412152158212434,72.6093942606431,Sélection automatique par sortie,False
34,59.46207516691179,485.09101093332305,17.375189998999918,24.180245350515438,2.89,25.73594783725089,54.59280410218967,19.671248060559442,2.4163001749611572,0.16289297430386696,0.2685188686597252,0.07320936947293652,0.025769232423150157,2.9466906198208362,74.26405216274911,Sélection automatique par sortie,False
35,48.66494849740852,519.1906320892931,21.25532168780252,19.353494237195473,3.9414689281030393,24.572372716299796,55.839137986380884,19.588489297319313,2.786493729265742,0.1881275094173396,0.32220927034317093,0.0894727522549772,0.03065408802040539,3.416957349301635,75.42762728370019,Sélection automatique par sortie,False
36,28.67684548981913,375.41648671600785,26.325579941349726,17.09,3.17,30.05606456891049,52.975720283122264,16.968215147967246,0.8609531032795086,0.05624617387801721,0.10708068686350655,0.00937707374854236,0.0096575629012042,1.0433146006707787,69.94393543108951,Sélection automatique par sortie,False
37,56.74488993615707,362.57917010454594,18.158998098783915,21.209128518522764,1.0087746457219025,30.66053680195804,51.38683433231799,17.95262886572397,0.8337487273265103,0.05754459642085846,0.1152936848591618,0.012375222613632622,0.010884075525046858,1.0298463067452102,69.33946319804195,Sélection automatique par sortie,False
38,51.59462332685788,426.41261399330926,20.156594286801937,9.911737188043588,2.4997996704099616,29.59739409984715,53.31207483016373,17.09053106998912,1.5586341772280898,0.10731465369529491,0.1710674062486744,0.04080432883076288,0.01699212966897223,1.8948126956717941,70.40260590015285,Sélection automatique par sortie,False
39,22.778803411649303,440.42984627983014,13.531984099664617,8.8,2.570011399522535,28.022599676462846,55.53492539884774,16.442474924689414,1.538398845941949,0.10608397896903841,0.179134841737319,0.04029011807696661,0.015462388229678159,1.8793701729549515,71.97740032353715,Sélection automatique par sortie,False
40,45.73161620703145,502.41,22.660557041168893,16.86896325894034,2.19,24.771998894641857,56.017248837569696,19.210752267788454,2.5807378593198957,0.1737684843085209,0.3162618128982684,0.081680893444877,0.025314941873042354,3.177763991844605,75.22800110535815,Sélection automatique par sortie,False
41,25.09871476558686,474.6497833736145,18.25,20.83,2.6,24.432897380977664,56.23723162055572,19.329870998466614,1.8975363707704385,0.12603411325623143,0.24697985432585348,0.0544684600110712,0.020085369862209823,2.3451041682258045,75.56710261902234,Sélection automatique par sortie,False
42,39.98359141285619,497.2926381361889,27.013332180592396,13.158993978626881,1.77,25.260729390960684,56.2772599312116,18.46201067782771,2.5374148278437527,0.16732892193785365,0.30959907673889536,0.07746282710745679,0.02203086115942943,3.113836514787388,74.73927060903931,Sélection automatique par sortie,False
43,27.10245002277398,497.1731699705519,20.82,23.439120080491207,1.1119590205105436,22.490580272713416,57.8186482837198,19.690771443566803,2.2694087202548583,0.1541942313752112,0.30117354787291817,0.06857866503080372,0.020164852581298874,2.8135200171150903,77.5094197272866,Sélection automatique par sortie,False
44,49.34450415037053,543.7584719468093,15.817680096709283,10.048967144920514,2.1507630546326606,23.786054653356317,57.39923625526198,18.8147090913817,3.175429634668623,0.2214292209576031,0.4098480579348229,0.11111498871801526,0.03447973269146737,3.952301634970531,76.21394534664368,Sélection automatique par sortie,False
45,59.945387942212825,450.7338273266738,20.12997313124341,16.986745719514822,2.24,27.988092639810255,53.77326279826387,18.238644561925877,1.9522301599461978,0.13442914770240524,0.2291955800978187,0.057094385174544474,0.022541491532185532,2.395490764453152,72.01190736018975,Sélection automatique par sortie,False
46,43.2079349021481,389.35422055712957,12.883263973497167,24.762375192173398,2.76,28.80830499789469,52.488356182998366,18.703338819106936,1.0526903329472959,0.0688469642638435,0.12310118772884912,0.018863334005506854,0.012525853006718086,1.2760276719522132,71.1916950021053,Sélection automatique par sortie,False
