model,input,input_value,normalized_level,Solid_Yield_pct,Liquid_Yield_pct,Gas_Yield_pct,HBr_pct,Br2_pct,HCl_pct,Cl2_pct,HF_pct,Toxicity_Index_pct,Valuable_Yield_pct
Sélection automatique par sortie,Temperature_C,446.75013333333334,0.4666666666666667,27.62148763200783,54.15124523166417,18.227267136327995,1.8067956964679666,0.12270401527183239,0.2211082703612225,0.05059882435184054,0.019630607545879166,2.220837413998741,72.37851236799216
Sélection automatique par sortie,Temperature_C,453.27549999999997,0.5,27.32177639533039,54.34368593255847,18.33453767211113,1.8949831148424174,0.12864644987345986,0.23634161939407278,0.0541730040386602,0.020519773829710822,2.334663961978321,72.6782236046696
Sélection automatique par sortie,Temperature_C,459.80086666666665,0.5333333333333333,27.020243216661726,54.537639400553836,18.442117382784424,1.983874064782562,0.13463812690689553,0.25818295255392687,0.057787441185792994,0.02145502441508181,2.4559376098442596,72.97975678333826
Sélection automatique par sortie,Temperature_C,466.32623333333333,0.5666666666666667,26.716886603412973,54.73310654908519,18.550006847501848,2.0734685462883986,0.14067904637213935,0.26540051019393895,0.06144213579323887,0.02183236747928541,2.5628226061270016,73.28311339658704
Sélection automatique par sortie,Temperature_C,472.85159999999996,0.6,26.411705042195806,54.930088308911714,18.658206648892477,2.1637665593599267,0.14676920826919126,0.27150320294000235,0.06513708786099781,0.022322916761103914,2.6694989751912215,73.5882949578042
Sélection automatique par sortie,Temperature_C,479.37696666666665,0.6333333333333333,26.104696998797905,55.12858562813107,18.766717373071025,2.2547681039971486,0.15290861259805144,0.27939602876202113,0.06887229738906989,0.023118749420301125,2.779063792166592,73.8953030012021
Sélection automatique par sortie,Temperature_C,485.90233333333333,0.6666666666666666,25.795860918157707,55.32859947219395,18.875539609648353,2.3464731802000633,0.15909725935871977,0.2896682259541371,0.07264776437745507,0.02392375211402317,2.891810182004398,74.2041390818423
Sélection automatique par sortie,Temperature_C,492.42769999999996,0.7,25.485195224338653,55.530130823919244,18.984673951742113,2.4388817879686693,0.1653351485511962,0.3005371681449172,0.0764634888261533,0.02471816515034946,3.0059357586412854,74.51480477566136
Sélection automatique par sortie,Temperature_C,498.95306666666664,0.7333333333333333,25.172698320502775,55.73318068350967,19.09412099598755,2.531993927302969,0.17162228017548084,0.3109286946850792,0.08031947073516467,0.025772731464572835,3.120637104363267,74.82730167949722
Sélection automatique par sortie,Temperature_C,505.4784333333333,0.7666666666666666,24.858368588883764,55.93775006856794,19.203881342548314,2.625809598202961,0.17795865423157364,0.3288787250041997,0.08421571010448911,0.026728821835708013,3.243591509378931,75.14163141111625
Sélection automatique par sortie,Temperature_C,512.0038,0.8,24.542204390759313,56.143840014113266,19.313955595127425,2.7203288006686446,0.18434427071947454,0.33782636838464175,0.08815220693412665,0.027749854532716042,3.358401501239604,75.45779560924069
Sélection automatique par sortie,Temperature_C,518.5291666666667,0.8333333333333334,24.224204066423,56.351451572598656,19.42434436097834,2.815551534700023,0.19077912963918378,0.3544184605537787,0.09212896122407735,0.029153669589172003,3.482031755706235,75.775795933577
Sélection automatique par sortie,Temperature_C,525.0545333333333,0.8666666666666667,23.904365935155507,56.5605858139284,19.535048250916088,2.9114778002970914,0.19726323099070098,0.36070396378933656,0.09614597297434105,0.029993059609861095,3.5955840276613307,76.09563406484449
Sélection automatique par sortie,Temperature_C,531.5799,0.9,23.582688295195176,56.77124382547629,19.64606787932853,3.0081075974598535,0.2037965747740264,0.3787010155806959,0.10020324218491787,0.030937590416180334,3.7217460204156736,76.41731170480482
Sélection automatique par sortie,Temperature_C,538.1052666666667,0.9333333333333333,23.25916942370809,56.98342671210419,19.75740386418773,3.105440926188309,0.21037916098916007,0.40371319836219705,0.10430076885580783,0.0318768743434725,3.855710928738946,76.74083057629193
